,Mean return,Mean volatility,Max drawdown,Sharpe ratio
NIFTY 50,-0.11746121058373249,0.15772681357231666,-0.7097102729053385,-0.744713013110338
S&P 500,-0.11011402368516243,0.182451250397763,-0.6772383349802729,-0.6035257278045627
FTSE 100,-0.032660184392149766,0.1492230103251087,-0.4976324628723702,-0.21886828526641958
